Reference	Degraded	Fsample	PESQ_score
g729char/exp3/original/a/a_m02s14.8k.wav	g729char/exp1/coded/a/ae1m3a14.8k.out	8000	3.506
g729char/exp3/original/a/a_f01s15.8k.wav	g729char/exp1/coded/a/ae1f6715.8k.out	8000	2.988
g729char/exp3/original/a/a_f02s15.8k.wav	g729char/exp1/coded/a/ae1f9315.8k.out	8000	3.111
g729char/exp3/original/a/a_m01s15.8k.wav	g729char/exp1/coded/a/ae1m0f15.8k.out	8000	3.214
g729char/exp3/original/a/a_m02s15.8k.wav	g729char/exp1/coded/a/ae1m3b15.8k.out	8000	3.544
g729char/exp3/original/a/a_f01s16.8k.wav	g729char/exp1/coded/a/ae1f6816.8k.out	8000	3.351
g729char/exp3/original/a/a_f02s16.8k.wav	g729char/exp1/coded/a/ae1f9416.8k.out	8000	3.56
g729char/exp3/original/a/a_m01s16.8k.wav	g729char/exp1/coded/a/ae1m1016.8k.out	8000	3.788
g729char/exp3/original/a/a_m02s16.8k.wav	g729char/exp1/coded/a/ae1m3c16.8k.out	8000	4.058
g729char/exp3/original/a/a_f01s17.8k.wav	g729char/exp1/coded/a/ae1f6917.8k.out	8000	3.519
g729char/exp3/original/a/a_f02s17.8k.wav	g729char/exp1/coded/a/ae1f9517.8k.out	8000	3.518
g729char/exp3/original/a/a_m01s17.8k.wav	g729char/exp1/coded/a/ae1m1117.8k.out	8000	3.54
g729char/exp3/original/a/a_m02s17.8k.wav	g729char/exp1/coded/a/ae1m3d17.8k.out	8000	3.679
g729char/exp3/original/a/a_f01s18.8k.wav	g729char/exp1/coded/a/ae1f6a18.8k.out	8000	3.213
g729char/exp3/original/a/a_f02s18.8k.wav	g729char/exp1/coded/a/ae1f9618.8k.out	8000	3.333
g729char/exp3/original/a/a_m01s18.8k.wav	g729char/exp1/coded/a/ae1m1218.8k.out	8000	3.633
g729char/exp3/original/a/a_m02s18.8k.wav	g729char/exp1/coded/a/ae1m3e18.8k.out	8000	3.648
g729char/exp3/original/a/a_f01s19.8k.wav	g729char/exp1/coded/a/ae1f6b19.8k.out	8000	3.068
g729char/exp3/original/a/a_f02s19.8k.wav	g729char/exp1/coded/a/ae1f9719.8k.out	8000	3.16
g729char/exp3/original/a/a_m01s19.8k.wav	g729char/exp1/coded/a/ae1m1319.8k.out	8000	3.448
g729char/exp3/original/a/a_m02s19.8k.wav	g729char/exp1/coded/a/ae1m3f19.8k.out	8000	3.522
g729char/exp3/original/a/a_f01s20.8k.wav	g729char/exp1/coded/a/ae1f6c20.8k.out	8000	2.932
g729char/exp3/original/a/a_f02s20.8k.wav	g729char/exp1/coded/a/ae1f9820.8k.out	8000	3.043
g729char/exp3/original/a/a_m01s20.8k.wav	g729char/exp1/coded/a/ae1m1420.8k.out	8000	3.109
g729char/exp3/original/a/a_m02s20.8k.wav	g729char/exp1/coded/a/ae1m4020.8k.out	8000	3.282
g729char/exp3/original/a/a_f01s21.8k.wav	g729char/exp1/coded/a/ae1f6d21.8k.out	8000	2.859
g729char/exp3/original/a/a_f02s21.8k.wav	g729char/exp1/coded/a/ae1f9921.8k.out	8000	3.078
g729char/exp3/original/a/a_m01s21.8k.wav	g729char/exp1/coded/a/ae1m1521.8k.out	8000	3.26
g729char/exp3/original/a/a_m02s21.8k.wav	g729char/exp1/coded/a/ae1m4121.8k.out	8000	3.38
g729char/exp3/original/a/a_f01s22.8k.wav	g729char/exp1/coded/a/ae1f6e22.8k.out	8000	2.708
