Reference	Degraded	Fsample	PESQ_score
voip/or105.wav	voip/dg105.wav	8000	2.237
voip/or109.wav	voip/dg109.wav	8000	3.180
voip/or114.wav	voip/dg114.wav	8000	2.147
voip/or129.wav	voip/dg129.wav	8000	2.680
voip/or134.wav	voip/dg134.wav	8000	2.365
voip/or137.wav	voip/dg137.wav	8000	3.670
voip/or145.wav	voip/dg145.wav	8000	3.016
voip/or149.wav	voip/dg149.wav	8000	2.558
voip/or152.wav	voip/dg152.wav	8000	2.768
voip/or154.wav	voip/dg154.wav	8000	2.694
voip/or155.wav	voip/dg155.wav	8000	2.606
voip/or161.wav	voip/dg161.wav	8000	2.608
voip/or164.wav	voip/dg164.wav	8000	2.850
voip/or166.wav	voip/dg166.wav	8000	2.527
voip/or170.wav	voip/dg170.wav	8000	2.452
voip/or179.wav	voip/dg179.wav	8000	1.828
voip/or221.wav	voip/dg221.wav	8000	2.774
voip/or229.wav	voip/dg229.wav	8000	2.940
voip/or246.wav	voip/dg246.wav	8000	2.205
voip/or272.wav	voip/dg272.wav	8000	3.288
voip/u_am1s01.wav	voip/u_am1s01b1c1.wav	8000	3.483
voip/u_am1s01.wav	voip/u_am1s01b1c7.wav	8000	2.420
voip/u_am1s02.wav	voip/u_am1s02b1c9.wav	8000	4.042
voip/u_am1s01.wav	voip/u_am1s01b1c15.wav	8000	3.179
voip/u_am1s03.wav	voip/u_am1s03b1c16.wav	8000	2.872
voip/u_am1s03.wav	voip/u_am1s03b1c18.wav	8000	2.806
voip/u_am1s01.wav	voip/u_am1s01b2c1.wav	8000	4.300
voip/u_am1s02.wav	voip/u_am1s02b2c4.wav	8000	3.634
voip/u_am1s02.wav	voip/u_am1s02b2c5.wav	8000	3.369
voip/u_am1s03.wav	voip/u_am1s03b2c5.wav	8000	3.911
voip/u_am1s03.wav	voip/u_am1s03b2c6.wav	8000	2.905
voip/u_am1s03.wav	voip/u_am1s03b2c7.wav	8000	3.579
voip/u_am1s01.wav	voip/u_am1s01b2c8.wav	8000	2.198
voip/u_am1s03.wav	voip/u_am1s03b2c11.wav	8000	3.276
voip/u_am1s02.wav	voip/u_am1s02b2c14.wav	8000	3.316
voip/u_af1s01.wav	voip/u_af1s01b2c16.wav	8000	3.307
voip/u_af1s03.wav	voip/u_af1s03b2c16.wav	8000	3.592
voip/u_af1s02.wav	voip/u_af1s02b2c17.wav	8000	2.614
voip/u_af1s03.wav	voip/u_af1s03b2c17.wav	8000	2.806
voip/u_am1s03.wav	voip/u_am1s03b2c18.wav	8000	2.540
