REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp3\original\a\a_f01s16.wav	 g729char\exp1\coded\a\ae1f6816.out	16000	2.129
g729char\exp3\original\a\a_f02s16.wav	 g729char\exp1\coded\a\ae1f9416.out	16000	2.65
g729char\exp3\original\a\a_m01s16.wav	 g729char\exp1\coded\a\ae1m1016.out	16000	2.991
g729char\exp3\original\a\a_m02s16.wav	 g729char\exp1\coded\a\ae1m3c16.out	16000	3.467
g729char\exp3\original\a\a_f01s17.wav	 g729char\exp1\coded\a\ae1f6917.out	16000	2.348
g729char\exp3\original\a\a_f02s17.wav	 g729char\exp1\coded\a\ae1f9517.out	16000	2.532
g729char\exp3\original\a\a_m01s17.wav	 g729char\exp1\coded\a\ae1m1117.out	16000	2.676
g729char\exp3\original\a\a_m02s17.wav	 g729char\exp1\coded\a\ae1m3d17.out	16000	2.98
g729char\exp3\original\a\a_f01s18.wav	 g729char\exp1\coded\a\ae1f6a18.out	16000	2.11
g729char\exp3\original\a\a_f02s18.wav	 g729char\exp1\coded\a\ae1f9618.out	16000	2.558
g729char\exp3\original\a\a_m01s18.wav	 g729char\exp1\coded\a\ae1m1218.out	16000	2.773
g729char\exp3\original\a\a_m02s18.wav	 g729char\exp1\coded\a\ae1m3e18.out	16000	3.005
g729char\exp3\original\a\a_f01s19.wav	 g729char\exp1\coded\a\ae1f6b19.out	16000	1.945
g729char\exp3\original\a\a_f02s19.wav	 g729char\exp1\coded\a\ae1f9719.out	16000	2.167
g729char\exp3\original\a\a_m01s19.wav	 g729char\exp1\coded\a\ae1m1319.out	16000	2.607
g729char\exp3\original\a\a_m02s19.wav	 g729char\exp1\coded\a\ae1m3f19.out	16000	2.757
g729char\exp3\original\a\a_f01s20.wav	 g729char\exp1\coded\a\ae1f6c20.out	16000	1.728
g729char\exp3\original\a\a_f02s20.wav	 g729char\exp1\coded\a\ae1f9820.out	16000	2.024
g729char\exp3\original\a\a_m01s20.wav	 g729char\exp1\coded\a\ae1m1420.out	16000	1.92
g729char\exp3\original\a\a_m02s20.wav	 g729char\exp1\coded\a\ae1m4020.out	16000	2.301
g729char\exp3\original\a\a_f01s21.wav	 g729char\exp1\coded\a\ae1f6d21.out	16000	1.746
g729char\exp3\original\a\a_f02s21.wav	 g729char\exp1\coded\a\ae1f9921.out	16000	2.22
g729char\exp3\original\a\a_m01s21.wav	 g729char\exp1\coded\a\ae1m1521.out	16000	2.605
g729char\exp3\original\a\a_m02s21.wav	 g729char\exp1\coded\a\ae1m4121.out	16000	2.632
g729char\exp3\original\a\a_f01s22.wav	 g729char\exp1\coded\a\ae1f6e22.out	16000	1.752
g729char\exp3\original\a\a_f02s22.wav	 g729char\exp1\coded\a\ae1f9a22.out	16000	2.25
g729char\exp3\original\a\a_m01s22.wav	 g729char\exp1\coded\a\ae1m1622.out	16000	1.95
g729char\exp3\original\a\a_m02s22.wav	 g729char\exp1\coded\a\ae1m4222.out	16000	2.625
g729char\exp3\original\a\a_f01s23.wav	 g729char\exp1\coded\a\ae1f6f23.out	16000	1.648
g729char\exp3\original\a\a_f02s23.wav	 g729char\exp1\coded\a\ae1f9b23.out	16000	2.135
g729char\exp3\original\a\a_m01s23.wav	 g729char\exp1\coded\a\ae1m1723.out	16000	1.825
g729char\exp3\original\a\a_m02s23.wav	 g729char\exp1\coded\a\ae1m4323.out	16000	2.15
g729char\exp3\original\a\a_f01s24.wav	 g729char\exp1\coded\a\ae1f7024.out	16000	1.883
g729char\exp3\original\a\a_f02s24.wav	 g729char\exp1\coded\a\ae1f9c24.out	16000	1.833
g729char\exp3\original\a\a_m01s24.wav	 g729char\exp1\coded\a\ae1m1824.out	16000	2.488
g729char\exp3\original\a\a_m02s24.wav	 g729char\exp1\coded\a\ae1m4424.out	16000	2.688
g729char\exp3\original\a\a_f01s25.wav	 g729char\exp1\coded\a\ae1f7125.out	16000	1.892
g729char\exp3\original\a\a_f02s25.wav	 g729char\exp1\coded\a\ae1f9d25.out	16000	1.844
g729char\exp3\original\a\a_m01s25.wav	 g729char\exp1\coded\a\ae1m1925.out	16000	2.463
g729char\exp3\original\a\a_m02s25.wav	 g729char\exp1\coded\a\ae1m4525.out	16000	2.656
g729char\exp3\original\a\a_f01s26.wav	 g729char\exp1\coded\a\ae1f7226.out	16000	1.721
g729char\exp3\original\a\a_f02s26.wav	 g729char\exp1\coded\a\ae1f9e26.out	16000	2.416
g729char\exp3\original\a\a_m01s26.wav	 g729char\exp1\coded\a\ae1m1a26.out	16000	2.315
g729char\exp3\original\a\a_m02s26.wav	 g729char\exp1\coded\a\ae1m4626.out	16000	2.7
g729char\exp3\original\a\a_f01s27.wav	 g729char\exp1\coded\a\ae1f7327.out	16000	2.038
g729char\exp3\original\a\a_f02s27.wav	 g729char\exp1\coded\a\ae1f9f27.out	16000	2.375
g729char\exp3\original\a\a_m01s27.wav	 g729char\exp1\coded\a\ae1m1b27.out	16000	2.228
g729char\exp3\original\a\a_m02s27.wav	 g729char\exp1\coded\a\ae1m4727.out	16000	2.286
g729char\exp3\original\a\a_f01s28.wav	 g729char\exp1\coded\a\ae1f7428.out	16000	1.798
g729char\exp3\original\a\a_f02s28.wav	 g729char\exp1\coded\a\ae1fa028.out	16000	1.809
g729char\exp3\original\a\a_m01s28.wav	 g729char\exp1\coded\a\ae1m1c28.out	16000	1.94
g729char\exp3\original\a\a_m02s28.wav	 g729char\exp1\coded\a\ae1m4828.out	16000	2.311
g729char\exp3\original\a\a_f01s29.wav	 g729char\exp1\coded\a\ae1f7529.out	16000	1.929
g729char\exp3\original\a\a_f02s29.wav	 g729char\exp1\coded\a\ae1fa129.out	16000	2.363
