REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp1\original\d\d_f02s23.wav	 g729char\exp1\coded\d\de1f9b23.out	16000	1.673
g729char\exp1\original\d\d_m01s23.wav	 g729char\exp1\coded\d\de1m1723.out	16000	1.865
g729char\exp1\original\d\d_m02s23.wav	 g729char\exp1\coded\d\de1m4323.out	16000	1.836
g729char\exp1\original\d\d_f01s24.wav	 g729char\exp1\coded\d\de1f7024.out	16000	1.775
g729char\exp1\original\d\d_f02s24.wav	 g729char\exp1\coded\d\de1f9c24.out	16000	1.825
g729char\exp1\original\d\d_m01s24.wav	 g729char\exp1\coded\d\de1m1824.out	16000	2.549
g729char\exp1\original\d\d_m02s24.wav	 g729char\exp1\coded\d\de1m4424.out	16000	2.641
g729char\exp1\original\d\d_f01s25.wav	 g729char\exp1\coded\d\de1f7125.out	16000	1.641
g729char\exp1\original\d\d_f02s25.wav	 g729char\exp1\coded\d\de1f9d25.out	16000	1.606
g729char\exp1\original\d\d_m01s25.wav	 g729char\exp1\coded\d\de1m1925.out	16000	2.729
g729char\exp1\original\d\d_m02s25.wav	 g729char\exp1\coded\d\de1m4525.out	16000	2.573
g729char\exp1\original\d\d_f01s26.wav	 g729char\exp1\coded\d\de1f7226.out	16000	1.845
g729char\exp1\original\d\d_f02s26.wav	 g729char\exp1\coded\d\de1f9e26.out	16000	2.015
g729char\exp1\original\d\d_m01s26.wav	 g729char\exp1\coded\d\de1m1a26.out	16000	2.377
g729char\exp1\original\d\d_m02s26.wav	 g729char\exp1\coded\d\de1m4626.out	16000	2.353
g729char\exp1\original\d\d_f01s27.wav	 g729char\exp1\coded\d\de1f7327.out	16000	1.734
g729char\exp1\original\d\d_f02s27.wav	 g729char\exp1\coded\d\de1f9f27.out	16000	1.947
g729char\exp1\original\d\d_m01s27.wav	 g729char\exp1\coded\d\de1m1b27.out	16000	2.052
g729char\exp1\original\d\d_m02s27.wav	 g729char\exp1\coded\d\de1m4727.out	16000	2.093
g729char\exp1\original\d\d_f01s28.wav	 g729char\exp1\coded\d\de1f7428.out	16000	1.857
g729char\exp1\original\d\d_f02s28.wav	 g729char\exp1\coded\d\de1fa028.out	16000	1.695
g729char\exp1\original\d\d_m01s28.wav	 g729char\exp1\coded\d\de1m1c28.out	16000	1.673
g729char\exp1\original\d\d_m02s28.wav	 g729char\exp1\coded\d\de1m4828.out	16000	1.706
g729char\exp1\original\d\d_f01s29.wav	 g729char\exp1\coded\d\de1f7529.out	16000	2.202
g729char\exp1\original\d\d_f02s29.wav	 g729char\exp1\coded\d\de1fa129.out	16000	2.333
g729char\exp1\original\d\d_m01s29.wav	 g729char\exp1\coded\d\de1m1d29.out	16000	2.795
g729char\exp1\original\d\d_m02s29.wav	 g729char\exp1\coded\d\de1m4929.out	16000	2.951
g729char\exp1\original\d\d_f01s30.wav	 g729char\exp1\coded\d\de1f7630.out	16000	2.267
g729char\exp1\original\d\d_f02s30.wav	 g729char\exp1\coded\d\de1fa230.out	16000	2.107
g729char\exp1\original\d\d_m01s30.wav	 g729char\exp1\coded\d\de1m1e30.out	16000	2.622
g729char\exp1\original\d\d_m02s30.wav	 g729char\exp1\coded\d\de1m4a30.out	16000	2.683
g729char\exp1\original\d\d_f01s31.wav	 g729char\exp1\coded\d\de1f7731.out	16000	2.185
g729char\exp1\original\d\d_f02s31.wav	 g729char\exp1\coded\d\de1fa331.out	16000	1.964
g729char\exp1\original\d\d_m01s31.wav	 g729char\exp1\coded\d\de1m1f31.out	16000	2.315
g729char\exp1\original\d\d_m02s31.wav	 g729char\exp1\coded\d\de1m4b31.out	16000	2.605
g729char\exp1\original\d\d_f01s32.wav	 g729char\exp1\coded\d\de1f7832.out	16000	1.665
g729char\exp1\original\d\d_f02s32.wav	 g729char\exp1\coded\d\de1fa432.out	16000	1.776
g729char\exp1\original\d\d_m01s32.wav	 g729char\exp1\coded\d\de1m2032.out	16000	2.073
g729char\exp1\original\d\d_m02s32.wav	 g729char\exp1\coded\d\de1m4c32.out	16000	2.072
g729char\exp1\original\d\d_f01s33.wav	 g729char\exp1\coded\d\de1f7933.out	16000	1.634
g729char\exp1\original\d\d_f02s33.wav	 g729char\exp1\coded\d\de1fa533.out	16000	1.552
g729char\exp1\original\d\d_m01s33.wav	 g729char\exp1\coded\d\de1m2133.out	16000	2.084
g729char\exp1\original\d\d_m02s33.wav	 g729char\exp1\coded\d\de1m4d33.out	16000	2.188
g729char\exp1\original\d\d_f01s34.wav	 g729char\exp1\coded\d\de1f7a34.out	16000	1.924
g729char\exp1\original\d\d_f02s34.wav	 g729char\exp1\coded\d\de1fa634.out	16000	1.889
g729char\exp1\original\d\d_m01s34.wav	 g729char\exp1\coded\d\de1m2234.out	16000	2.482
g729char\exp1\original\d\d_m02s34.wav	 g729char\exp1\coded\d\de1m4e34.out	16000	2.365
g729char\exp1\original\d\d_f01s35.wav	 g729char\exp1\coded\d\de1f7b35.out	16000	1.893
g729char\exp1\original\d\d_f02s35.wav	 g729char\exp1\coded\d\de1fa735.out	16000	1.611
g729char\exp1\original\d\d_m01s35.wav	 g729char\exp1\coded\d\de1m2335.out	16000	1.701
g729char\exp1\original\d\d_m02s35.wav	 g729char\exp1\coded\d\de1m4f35.out	16000	1.756
g729char\exp1\original\d\d_f01s36.wav	 g729char\exp1\coded\d\de1f7c36.out	16000	1.689
g729char\exp1\original\d\d_f02s36.wav	 g729char\exp1\coded\d\de1fa836.out	16000	1.642
g729char\exp1\original\d\d_m01s36.wav	 g729char\exp1\coded\d\de1m2436.out	16000	1.928
g729char\exp1\original\d\d_m02s36.wav	 g729char\exp1\coded\d\de1m5036.out	16000	1.758
g729char\exp1\original\d\d_f01s37.wav	 g729char\exp1\coded\d\de1f7d37.out	16000	1.199
g729char\exp1\original\d\d_f02s37.wav	 g729char\exp1\coded\d\de1fa937.out	16000	1.197
g729char\exp1\original\d\d_m01s37.wav	 g729char\exp1\coded\d\de1m2537.out	16000	1.594
g729char\exp1\original\d\d_m02s37.wav	 g729char\exp1\coded\d\de1m5137.out	16000	1.794
g729char\exp1\original\d\d_f01s38.wav	 g729char\exp1\coded\d\de1f7e38.out	16000	1.433
g729char\exp1\original\d\d_f02s38.wav	 g729char\exp1\coded\d\de1faa38.out	16000	1.447
g729char\exp1\original\d\d_m01s38.wav	 g729char\exp1\coded\d\de1m2638.out	16000	2.375
g729char\exp1\original\d\d_m02s38.wav	 g729char\exp1\coded\d\de1m5238.out	16000	2.015
g729char\exp1\original\d\d_f01s39.wav	 g729char\exp1\coded\d\de1f7f39.out	16000	1.998
g729char\exp1\original\d\d_f02s39.wav	 g729char\exp1\coded\d\de1fab39.out	16000	1.926
g729char\exp1\original\d\d_m01s39.wav	 g729char\exp1\coded\d\de1m2739.out	16000	2.98
g729char\exp1\original\d\d_m02s39.wav	 g729char\exp1\coded\d\de1m5339.out	16000	2.853
g729char\exp1\original\d\d_f01s40.wav	 g729char\exp1\coded\d\de1f8040.out	16000	2.76
g729char\exp1\original\d\d_f02s40.wav	 g729char\exp1\coded\d\de1fac40.out	16000	2.734
g729char\exp1\original\d\d_m01s40.wav	 g729char\exp1\coded\d\de1m2840.out	16000	3.205
g729char\exp1\original\d\d_m02s40.wav	 g729char\exp1\coded\d\de1m5440.out	16000	3.161
g729char\exp1\original\d\d_f01s41.wav	 g729char\exp1\coded\d\de1f8141.out	16000	3.221
g729char\exp1\original\d\d_f02s41.wav	 g729char\exp1\coded\d\de1fad41.out	16000	2.874
g729char\exp1\original\d\d_m01s41.wav	 g729char\exp1\coded\d\de1m2941.out	16000	3.76
g729char\exp1\original\d\d_m02s41.wav	 g729char\exp1\coded\d\de1m5541.out	16000	3.818
g729char\exp1\original\d\d_f01s42.wav	 g729char\exp1\coded\d\de1f8242.out	16000	3.394
g729char\exp1\original\d\d_f02s42.wav	 g729char\exp1\coded\d\de1fae42.out	16000	3.572
g729char\exp1\original\d\d_m01s42.wav	 g729char\exp1\coded\d\de1m2a42.out	16000	3.693
g729char\exp1\original\d\d_m02s42.wav	 g729char\exp1\coded\d\de1m5642.out	16000	3.999
g729char\exp1\original\d\d_f01s43.wav	 g729char\exp1\coded\d\de1f8343.out	16000	3.656
g729char\exp1\original\d\d_f02s43.wav	 g729char\exp1\coded\d\de1faf43.out	16000	3.763
g729char\exp1\original\d\d_m01s43.wav	 g729char\exp1\coded\d\de1m2b43.out	16000	3.737
g729char\exp1\original\d\d_m02s43.wav	 g729char\exp1\coded\d\de1m5743.out	16000	3.942
g729char\exp1\original\d\d_f01s44.wav	 g729char\exp1\coded\d\de1f8444.out	16000	3.881
g729char\exp1\original\d\d_f02s44.wav	 g729char\exp1\coded\d\de1fb044.out	16000	3.873
g729char\exp1\original\d\d_m01s44.wav	 g729char\exp1\coded\d\de1m2c44.out	16000	4.074
g729char\exp1\original\d\d_m02s44.wav	 g729char\exp1\coded\d\de1m5844.out	16000	4.098
g729char\exp1\original\o\o_f01s01.wav	 g729char\exp1\coded\o\oe1f5901.out	16000	2.409
g729char\exp1\original\o\o_f02s01.wav	 g729char\exp1\coded\o\oe1f8501.out	16000	2.263
g729char\exp1\original\o\o_m01s01.wav	 g729char\exp1\coded\o\oe1m0101.out	16000	2.606
g729char\exp1\original\o\o_m02s01.wav	 g729char\exp1\coded\o\oe1m2d01.out	16000	2.219
g729char\exp1\original\o\o_f01s02.wav	 g729char\exp1\coded\o\oe1f5a02.out	16000	2.182
g729char\exp1\original\o\o_f02s02.wav	 g729char\exp1\coded\o\oe1f8602.out	16000	1.865
g729char\exp1\original\o\o_m01s02.wav	 g729char\exp1\coded\o\oe1m0202.out	16000	1.83
g729char\exp1\original\o\o_m02s02.wav	 g729char\exp1\coded\o\oe1m2e02.out	16000	2.352
g729char\exp1\original\o\o_f01s03.wav	 g729char\exp1\coded\o\oe1f5b03.out	16000	1.786
g729char\exp1\original\o\o_f02s03.wav	 g729char\exp1\coded\o\oe1f8703.out	16000	1.523
g729char\exp1\original\o\o_m01s03.wav	 g729char\exp1\coded\o\oe1m0303.out	16000	1.437
g729char\exp1\original\o\o_m02s03.wav	 g729char\exp1\coded\o\oe1m2f03.out	16000	1.925
g729char\exp1\original\o\o_f01s04.wav	 g729char\exp1\coded\o\oe1f5c04.out	16000	2.563
g729char\exp1\original\o\o_f02s04.wav	 g729char\exp1\coded\o\oe1f8804.out	16000	2.692
g729char\exp1\original\o\o_m01s04.wav	 g729char\exp1\coded\o\oe1m0404.out	16000	2.224
g729char\exp1\original\o\o_m02s04.wav	 g729char\exp1\coded\o\oe1m3004.out	16000	2.435
g729char\exp1\original\o\o_f01s05.wav	 g729char\exp1\coded\o\oe1f5d05.out	16000	1.935
g729char\exp1\original\o\o_f02s05.wav	 g729char\exp1\coded\o\oe1f8905.out	16000	2.323
g729char\exp1\original\o\o_m01s05.wav	 g729char\exp1\coded\o\oe1m0505.out	16000	2.365
g729char\exp1\original\o\o_m02s05.wav	 g729char\exp1\coded\o\oe1m3105.out	16000	1.85
g729char\exp1\original\o\o_f01s06.wav	 g729char\exp1\coded\o\oe1f5e06.out	16000	2.297
g729char\exp1\original\o\o_f02s06.wav	 g729char\exp1\coded\o\oe1f8a06.out	16000	2.469
g729char\exp1\original\o\o_m01s06.wav	 g729char\exp1\coded\o\oe1m0606.out	16000	2.59
g729char\exp1\original\o\o_m02s06.wav	 g729char\exp1\coded\o\oe1m3206.out	16000	2.713
g729char\exp1\original\o\o_f01s07.wav	 g729char\exp1\coded\o\oe1f5f07.out	16000	3.792
g729char\exp1\original\o\o_f02s07.wav	 g729char\exp1\coded\o\oe1f8b07.out	16000	2.865
g729char\exp1\original\o\o_m01s07.wav	 g729char\exp1\coded\o\oe1m0707.out	16000	2.914
g729char\exp1\original\o\o_m02s07.wav	 g729char\exp1\coded\o\oe1m3307.out	16000	2.978
g729char\exp1\original\o\o_f01s08.wav	 g729char\exp1\coded\o\oe1f6008.out	16000	2.356
g729char\exp1\original\o\o_f02s08.wav	 g729char\exp1\coded\o\oe1f8c08.out	16000	1.814
g729char\exp1\original\o\o_m01s08.wav	 g729char\exp1\coded\o\oe1m0808.out	16000	2.374
g729char\exp1\original\o\o_m02s08.wav	 g729char\exp1\coded\o\oe1m3408.out	16000	2.063
g729char\exp1\original\o\o_f01s09.wav	 g729char\exp1\coded\o\oe1f6109.out	16000	2.425
g729char\exp1\original\o\o_f02s09.wav	 g729char\exp1\coded\o\oe1f8d09.out	16000	2.218
g729char\exp1\original\o\o_m01s09.wav	 g729char\exp1\coded\o\oe1m0909.out	16000	2.154
g729char\exp1\original\o\o_m02s09.wav	 g729char\exp1\coded\o\oe1m3509.out	16000	2.191
g729char\exp1\original\o\o_f01s10.wav	 g729char\exp1\coded\o\oe1f6210.out	16000	1.998
g729char\exp1\original\o\o_f02s10.wav	 g729char\exp1\coded\o\oe1f8e10.out	16000	1.536
g729char\exp1\original\o\o_m01s10.wav	 g729char\exp1\coded\o\oe1m0a10.out	16000	1.682
g729char\exp1\original\o\o_m02s10.wav	 g729char\exp1\coded\o\oe1m3610.out	16000	2.047
g729char\exp1\original\o\o_f01s11.wav	 g729char\exp1\coded\o\oe1f6311.out	16000	2.238
g729char\exp1\original\o\o_f02s11.wav	 g729char\exp1\coded\o\oe1f8f11.out	16000	2.375
g729char\exp1\original\o\o_m01s11.wav	 g729char\exp1\coded\o\oe1m0b11.out	16000	2.103
g729char\exp1\original\o\o_m02s11.wav	 g729char\exp1\coded\o\oe1m3711.out	16000	2.564
g729char\exp1\original\o\o_f01s12.wav	 g729char\exp1\coded\o\oe1f6412.out	16000	2.268
g729char\exp1\original\o\o_f02s12.wav	 g729char\exp1\coded\o\oe1f9012.out	16000	1.88
g729char\exp1\original\o\o_m01s12.wav	 g729char\exp1\coded\o\oe1m0c12.out	16000	1.828
g729char\exp1\original\o\o_m02s12.wav	 g729char\exp1\coded\o\oe1m3812.out	16000	2.476
g729char\exp1\original\o\o_f01s13.wav	 g729char\exp1\coded\o\oe1f6513.out	16000	2.032
g729char\exp1\original\o\o_f02s13.wav	 g729char\exp1\coded\o\oe1f9113.out	16000	1.929
g729char\exp1\original\o\o_m01s13.wav	 g729char\exp1\coded\o\oe1m0d13.out	16000	1.653
g729char\exp1\original\o\o_m02s13.wav	 g729char\exp1\coded\o\oe1m3913.out	16000	1.934
g729char\exp1\original\o\o_f01s14.wav	 g729char\exp1\coded\o\oe1f6614.out	16000	2.2
g729char\exp1\original\o\o_f02s14.wav	 g729char\exp1\coded\o\oe1f9214.out	16000	1.623
g729char\exp1\original\o\o_m01s14.wav	 g729char\exp1\coded\o\oe1m0e14.out	16000	1.613
g729char\exp1\original\o\o_m02s14.wav	 g729char\exp1\coded\o\oe1m3a14.out	16000	1.861
g729char\exp1\original\o\o_f01s15.wav	 g729char\exp1\coded\o\oe1f6715.out	16000	1.842
g729char\exp1\original\o\o_f02s15.wav	 g729char\exp1\coded\o\oe1f9315.out	16000	1.439
g729char\exp1\original\o\o_m01s15.wav	 g729char\exp1\coded\o\oe1m0f15.out	16000	1.351
g729char\exp1\original\o\o_m02s15.wav	 g729char\exp1\coded\o\oe1m3b15.out	16000	1.636
g729char\exp1\original\o\o_f01s16.wav	 g729char\exp1\coded\o\oe1f6816.out	16000	2.726
g729char\exp1\original\o\o_f02s16.wav	 g729char\exp1\coded\o\oe1f9416.out	16000	1.724
g729char\exp1\original\o\o_m01s16.wav	 g729char\exp1\coded\o\oe1m1016.out	16000	1.934
g729char\exp1\original\o\o_m02s16.wav	 g729char\exp1\coded\o\oe1m3c16.out	16000	2.959
g729char\exp1\original\o\o_f01s17.wav	 g729char\exp1\coded\o\oe1f6917.out	16000	2.251
g729char\exp1\original\o\o_f02s17.wav	 g729char\exp1\coded\o\oe1f9517.out	16000	1.804
g729char\exp1\original\o\o_m01s17.wav	 g729char\exp1\coded\o\oe1m1117.out	16000	2.059
g729char\exp1\original\o\o_m02s17.wav	 g729char\exp1\coded\o\oe1m3d17.out	16000	1.991
g729char\exp1\original\o\o_f01s18.wav	 g729char\exp1\coded\o\oe1f6a18.out	16000	2.329
g729char\exp1\original\o\o_f02s18.wav	 g729char\exp1\coded\o\oe1f9618.out	16000	1.833
g729char\exp1\original\o\o_m01s18.wav	 g729char\exp1\coded\o\oe1m1218.out	16000	1.985
g729char\exp1\original\o\o_m02s18.wav	 g729char\exp1\coded\o\oe1m3e18.out	16000	2.424
g729char\exp1\original\o\o_f01s19.wav	 g729char\exp1\coded\o\oe1f6b19.out	16000	2.113
g729char\exp1\original\o\o_f02s19.wav	 g729char\exp1\coded\o\oe1f9719.out	16000	1.932
g729char\exp1\original\o\o_m01s19.wav	 g729char\exp1\coded\o\oe1m1319.out	16000	1.746
g729char\exp1\original\o\o_m02s19.wav	 g729char\exp1\coded\o\oe1m3f19.out	16000	2.097
g729char\exp1\original\o\o_f01s20.wav	 g729char\exp1\coded\o\oe1f6c20.out	16000	1.581
g729char\exp1\original\o\o_f02s20.wav	 g729char\exp1\coded\o\oe1f9820.out	16000	1.316
g729char\exp1\original\o\o_m01s20.wav	 g729char\exp1\coded\o\oe1m1420.out	16000	1.357
g729char\exp1\original\o\o_m02s20.wav	 g729char\exp1\coded\o\oe1m4020.out	16000	1.532
g729char\exp1\original\o\o_f01s21.wav	 g729char\exp1\coded\o\oe1f6d21.out	16000	1.637
g729char\exp1\original\o\o_f02s21.wav	 g729char\exp1\coded\o\oe1f9921.out	16000	1.49
g729char\exp1\original\o\o_m01s21.wav	 g729char\exp1\coded\o\oe1m1521.out	16000	1.622
g729char\exp1\original\o\o_m02s21.wav	 g729char\exp1\coded\o\oe1m4121.out	16000	1.722
g729char\exp1\original\o\o_f01s22.wav	 g729char\exp1\coded\o\oe1f6e22.out	16000	1.727
g729char\exp1\original\o\o_f02s22.wav	 g729char\exp1\coded\o\oe1f9a22.out	16000	1.26
g729char\exp1\original\o\o_m01s22.wav	 g729char\exp1\coded\o\oe1m1622.out	16000	1.488
g729char\exp1\original\o\o_m02s22.wav	 g729char\exp1\coded\o\oe1m4222.out	16000	1.591
g729char\exp1\original\o\o_f01s23.wav	 g729char\exp1\coded\o\oe1f6f23.out	16000	1.608
g729char\exp1\original\o\o_f02s23.wav	 g729char\exp1\coded\o\oe1f9b23.out	16000	1.391
g729char\exp1\original\o\o_m01s23.wav	 g729char\exp1\coded\o\oe1m1723.out	16000	1.332
g729char\exp1\original\o\o_m02s23.wav	 g729char\exp1\coded\o\oe1m4323.out	16000	1.497
g729char\exp1\original\o\o_f01s24.wav	 g729char\exp1\coded\o\oe1f7024.out	16000	1.73
g729char\exp1\original\o\o_f02s24.wav	 g729char\exp1\coded\o\oe1f9c24.out	16000	1.764
g729char\exp1\original\o\o_m01s24.wav	 g729char\exp1\coded\o\oe1m1824.out	16000	1.877
g729char\exp1\original\o\o_m02s24.wav	 g729char\exp1\coded\o\oe1m4424.out	16000	2.133
g729char\exp1\original\o\o_f01s25.wav	 g729char\exp1\coded\o\oe1f7125.out	16000	1.601
g729char\exp1\original\o\o_f02s25.wav	 g729char\exp1\coded\o\oe1f9d25.out	16000	1.534
g729char\exp1\original\o\o_m01s25.wav	 g729char\exp1\coded\o\oe1m1925.out	16000	1.664
g729char\exp1\original\o\o_m02s25.wav	 g729char\exp1\coded\o\oe1m4525.out	16000	1.626
g729char\exp1\original\o\o_f01s26.wav	 g729char\exp1\coded\o\oe1f7226.out	16000	2.237
g729char\exp1\original\o\o_f02s26.wav	 g729char\exp1\coded\o\oe1f9e26.out	16000	1.791
g729char\exp1\original\o\o_m01s26.wav	 g729char\exp1\coded\o\oe1m1a26.out	16000	1.764
g729char\exp1\original\o\o_m02s26.wav	 g729char\exp1\coded\o\oe1m4626.out	16000	1.773
g729char\exp1\original\o\o_f01s27.wav	 g729char\exp1\coded\o\oe1f7327.out	16000	1.716
g729char\exp1\original\o\o_f02s27.wav	 g729char\exp1\coded\o\oe1f9f27.out	16000	1.627
g729char\exp1\original\o\o_m01s27.wav	 g729char\exp1\coded\o\oe1m1b27.out	16000	1.618
g729char\exp1\original\o\o_m02s27.wav	 g729char\exp1\coded\o\oe1m4727.out	16000	1.597
g729char\exp1\original\o\o_f01s28.wav	 g729char\exp1\coded\o\oe1f7428.out	16000	1.681
g729char\exp1\original\o\o_f02s28.wav	 g729char\exp1\coded\o\oe1fa028.out	16000	1.444
g729char\exp1\original\o\o_m01s28.wav	 g729char\exp1\coded\o\oe1m1c28.out	16000	1.456
g729char\exp1\original\o\o_m02s28.wav	 g729char\exp1\coded\o\oe1m4828.out	16000	1.356
g729char\exp1\original\o\o_f01s29.wav	 g729char\exp1\coded\o\oe1f7529.out	16000	1.985
g729char\exp1\original\o\o_f02s29.wav	 g729char\exp1\coded\o\oe1fa129.out	16000	1.949
g729char\exp1\original\o\o_m01s29.wav	 g729char\exp1\coded\o\oe1m1d29.out	16000	2.229
g729char\exp1\original\o\o_m02s29.wav	 g729char\exp1\coded\o\oe1m4929.out	16000	1.829
g729char\exp1\original\o\o_f01s30.wav	 g729char\exp1\coded\o\oe1f7630.out	16000	2.052
g729char\exp1\original\o\o_f02s30.wav	 g729char\exp1\coded\o\oe1fa230.out	16000	2.207
g729char\exp1\original\o\o_m01s30.wav	 g729char\exp1\coded\o\oe1m1e30.out	16000	2.075
g729char\exp1\original\o\o_m02s30.wav	 g729char\exp1\coded\o\oe1m4a30.out	16000	1.707
g729char\exp1\original\o\o_f01s31.wav	 g729char\exp1\coded\o\oe1f7731.out	16000	2.079
g729char\exp1\original\o\o_f02s31.wav	 g729char\exp1\coded\o\oe1fa331.out	16000	2.029
g729char\exp1\original\o\o_m01s31.wav	 g729char\exp1\coded\o\oe1m1f31.out	16000	1.938
g729char\exp1\original\o\o_m02s31.wav	 g729char\exp1\coded\o\oe1m4b31.out	16000	1.878
g729char\exp1\original\o\o_f01s32.wav	 g729char\exp1\coded\o\oe1f7832.out	16000	1.826
g729char\exp1\original\o\o_f02s32.wav	 g729char\exp1\coded\o\oe1fa432.out	16000	1.619
g729char\exp1\original\o\o_m01s32.wav	 g729char\exp1\coded\o\oe1m2032.out	16000	1.475
g729char\exp1\original\o\o_m02s32.wav	 g729char\exp1\coded\o\oe1m4c32.out	16000	1.678
g729char\exp1\original\o\o_f01s33.wav	 g729char\exp1\coded\o\oe1f7933.out	16000	1.517
g729char\exp1\original\o\o_f02s33.wav	 g729char\exp1\coded\o\oe1fa533.out	16000	1.462
g729char\exp1\original\o\o_m01s33.wav	 g729char\exp1\coded\o\oe1m2133.out	16000	1.559
g729char\exp1\original\o\o_m02s33.wav	 g729char\exp1\coded\o\oe1m4d33.out	16000	1.772
g729char\exp1\original\o\o_f01s34.wav	 g729char\exp1\coded\o\oe1f7a34.out	16000	1.865
g729char\exp1\original\o\o_f02s34.wav	 g729char\exp1\coded\o\oe1fa634.out	16000	1.46
g729char\exp1\original\o\o_m01s34.wav	 g729char\exp1\coded\o\oe1m2234.out	16000	1.617
g729char\exp1\original\o\o_m02s34.wav	 g729char\exp1\coded\o\oe1m4e34.out	16000	1.661
g729char\exp1\original\o\o_f01s35.wav	 g729char\exp1\coded\o\oe1f7b35.out	16000	1.455
g729char\exp1\original\o\o_f02s35.wav	 g729char\exp1\coded\o\oe1fa735.out	16000	1.223
g729char\exp1\original\o\o_m01s35.wav	 g729char\exp1\coded\o\oe1m2335.out	16000	1.307
g729char\exp1\original\o\o_m02s35.wav	 g729char\exp1\coded\o\oe1m4f35.out	16000	1.375
g729char\exp1\original\o\o_f01s36.wav	 g729char\exp1\coded\o\oe1f7c36.out	16000	1.571
g729char\exp1\original\o\o_f02s36.wav	 g729char\exp1\coded\o\oe1fa836.out	16000	1.416
g729char\exp1\original\o\o_m01s36.wav	 g729char\exp1\coded\o\oe1m2436.out	16000	1.426
g729char\exp1\original\o\o_m02s36.wav	 g729char\exp1\coded\o\oe1m5036.out	16000	1.512
g729char\exp1\original\o\o_f01s37.wav	 g729char\exp1\coded\o\oe1f7d37.out	16000	1.217
g729char\exp1\original\o\o_f02s37.wav	 g729char\exp1\coded\o\oe1fa937.out	16000	1.166
g729char\exp1\original\o\o_m01s37.wav	 g729char\exp1\coded\o\oe1m2537.out	16000	1.204
g729char\exp1\original\o\o_m02s37.wav	 g729char\exp1\coded\o\oe1m5137.out	16000	1.193
g729char\exp1\original\o\o_f01s38.wav	 g729char\exp1\coded\o\oe1f7e38.out	16000	1.484
g729char\exp1\original\o\o_f02s38.wav	 g729char\exp1\coded\o\oe1faa38.out	16000	1.457
g729char\exp1\original\o\o_m01s38.wav	 g729char\exp1\coded\o\oe1m2638.out	16000	1.772
g729char\exp1\original\o\o_m02s38.wav	 g729char\exp1\coded\o\oe1m5238.out	16000	1.378
g729char\exp1\original\o\o_f01s39.wav	 g729char\exp1\coded\o\oe1f7f39.out	16000	1.886
g729char\exp1\original\o\o_f02s39.wav	 g729char\exp1\coded\o\oe1fab39.out	16000	1.725
g729char\exp1\original\o\o_m01s39.wav	 g729char\exp1\coded\o\oe1m2739.out	16000	2.321
g729char\exp1\original\o\o_m02s39.wav	 g729char\exp1\coded\o\oe1m5339.out	16000	1.641
g729char\exp1\original\o\o_f01s40.wav	 g729char\exp1\coded\o\oe1f8040.out	16000	2.888
g729char\exp1\original\o\o_f02s40.wav	 g729char\exp1\coded\o\oe1fac40.out	16000	2.304
g729char\exp1\original\o\o_m01s40.wav	 g729char\exp1\coded\o\oe1m2840.out	16000	2.915
g729char\exp1\original\o\o_m02s40.wav	 g729char\exp1\coded\o\oe1m5440.out	16000	1.921
g729char\exp1\original\o\o_f01s41.wav	 g729char\exp1\coded\o\oe1f8141.out	16000	2.925
g729char\exp1\original\o\o_f02s41.wav	 g729char\exp1\coded\o\oe1fad41.out	16000	2.922
g729char\exp1\original\o\o_m01s41.wav	 g729char\exp1\coded\o\oe1m2941.out	16000	2.829
g729char\exp1\original\o\o_m02s41.wav	 g729char\exp1\coded\o\oe1m5541.out	16000	2.481
g729char\exp1\original\o\o_f01s42.wav	 g729char\exp1\coded\o\oe1f8242.out	16000	3.275
g729char\exp1\original\o\o_f02s42.wav	 g729char\exp1\coded\o\oe1fae42.out	16000	3.097
g729char\exp1\original\o\o_m01s42.wav	 g729char\exp1\coded\o\oe1m2a42.out	16000	3.393
g729char\exp1\original\o\o_m02s42.wav	 g729char\exp1\coded\o\oe1m5642.out	16000	2.572
g729char\exp1\original\o\o_f01s43.wav	 g729char\exp1\coded\o\oe1f8343.out	16000	3.607
g729char\exp1\original\o\o_f02s43.wav	 g729char\exp1\coded\o\oe1faf43.out	16000	3.261
g729char\exp1\original\o\o_m01s43.wav	 g729char\exp1\coded\o\oe1m2b43.out	16000	3.42
g729char\exp1\original\o\o_m02s43.wav	 g729char\exp1\coded\o\oe1m5743.out	16000	3.019
g729char\exp1\original\o\o_f01s44.wav	 g729char\exp1\coded\o\oe1f8444.out	16000	3.995
g729char\exp1\original\o\o_f02s44.wav	 g729char\exp1\coded\o\oe1fb044.out	16000	3.189
g729char\exp1\original\o\o_m01s44.wav	 g729char\exp1\coded\o\oe1m2c44.out	16000	3.438
g729char\exp1\original\o\o_m02s44.wav	 g729char\exp1\coded\o\oe1m5844.out	16000	3.398
g729char\exp2\pre_proc\a\a_m01l01.axp	 g729char\exp2\coded\a\ae2m0101.out	16000	3.615
g729char\exp2\pre_proc\a\a_m02l29.axp	 g729char\exp2\coded\a\ae2m2901.out	16000	3.534
g729char\exp2\pre_proc\a\a_f01l51.axp	 g729char\exp2\coded\a\ae2f5101.out	16000	3.047
g729char\exp2\pre_proc\a\a_f02l79.axp	 g729char\exp2\coded\a\ae2f7901.out	16000	3.233
g729char\exp2\pre_proc\a\a_m01l02.axp	 g729char\exp2\coded\a\ae2m0202.out	16000	3.38
