Reference	Degraded	Fsample	PESQ_score
g729char/exp3/original/a/a_f01s01.wav	g729char/exp1/coded/a/ae1f5901.out	16000	3.575
g729char/exp3/original/a/a_f02s01.wav	g729char/exp1/coded/a/ae1f8501.out	16000	3.603
g729char/exp3/original/a/a_m01s01.wav	g729char/exp1/coded/a/ae1m0101.out	16000	3.919
g729char/exp3/original/a/a_m02s01.wav	g729char/exp1/coded/a/ae1m2d01.out	16000	3.968
g729char/exp3/original/a/a_f01s02.wav	g729char/exp1/coded/a/ae1f5a02.out	16000	3.229
g729char/exp3/original/a/a_f02s02.wav	g729char/exp1/coded/a/ae1f8602.out	16000	3.272
g729char/exp3/original/a/a_m01s02.wav	g729char/exp1/coded/a/ae1m0202.out	16000	3.63
g729char/exp3/original/a/a_m02s02.wav	g729char/exp1/coded/a/ae1m2e02.out	16000	3.473
g729char/exp3/original/a/a_f01s03.wav	g729char/exp1/coded/a/ae1f5b03.out	16000	2.798
g729char/exp3/original/a/a_f02s03.wav	g729char/exp1/coded/a/ae1f8703.out	16000	2.999
g729char/exp3/original/a/a_m01s03.wav	g729char/exp1/coded/a/ae1m0303.out	16000	3.108
g729char/exp3/original/a/a_m02s03.wav	g729char/exp1/coded/a/ae1m2f03.out	16000	3.177
g729char/exp3/original/a/a_f01s04.wav	g729char/exp1/coded/a/ae1f5c04.out	16000	3.876
g729char/exp3/original/a/a_f02s04.wav	g729char/exp1/coded/a/ae1f8804.out	16000	3.746
g729char/exp3/original/a/a_m01s04.wav	g729char/exp1/coded/a/ae1m0404.out	16000	4.155
g729char/exp3/original/a/a_m02s04.wav	g729char/exp1/coded/a/ae1m3004.out	16000	4.097
g729char/exp3/original/a/a_f01s05.wav	g729char/exp1/coded/a/ae1f5d05.out	16000	3.316
g729char/exp3/original/a/a_f02s05.wav	g729char/exp1/coded/a/ae1f8905.out	16000	3.326
g729char/exp3/original/a/a_m01s05.wav	g729char/exp1/coded/a/ae1m0505.out	16000	3.54
g729char/exp3/original/a/a_m02s05.wav	g729char/exp1/coded/a/ae1m3105.out	16000	3.513
g729char/exp3/original/a/a_f01s06.wav	g729char/exp1/coded/a/ae1f5e06.out	16000	3.663
g729char/exp3/original/a/a_f02s06.wav	g729char/exp1/coded/a/ae1f8a06.out	16000	3.551
g729char/exp3/original/a/a_m01s06.wav	g729char/exp1/coded/a/ae1m0606.out	16000	3.992
g729char/exp3/original/a/a_m02s06.wav	g729char/exp1/coded/a/ae1m3206.out	16000	3.942
g729char/exp3/original/a/a_f01s07.wav	g729char/exp1/coded/a/ae1f5f07.out	16000	4.084
g729char/exp3/original/a/a_f02s07.wav	g729char/exp1/coded/a/ae1f8b07.out	16000	4.131
g729char/exp3/original/a/a_m01s07.wav	g729char/exp1/coded/a/ae1m0707.out	16000	4.206
g729char/exp3/original/a/a_m02s07.wav	g729char/exp1/coded/a/ae1m3307.out	16000	4.304
g729char/exp3/original/a/a_f01s08.wav	g729char/exp1/coded/a/ae1f6008.out	16000	3.127
g729char/exp3/original/a/a_f02s08.wav	g729char/exp1/coded/a/ae1f8c08.out	16000	3.209
g729char/exp3/original/a/a_m01s08.wav	g729char/exp1/coded/a/ae1m0808.out	16000	3.644
g729char/exp3/original/a/a_m02s08.wav	g729char/exp1/coded/a/ae1m3408.out	16000	3.775
g729char/exp3/original/a/a_f01s09.wav	g729char/exp1/coded/a/ae1f6109.out	16000	3.154
g729char/exp3/original/a/a_f02s09.wav	g729char/exp1/coded/a/ae1f8d09.out	16000	3.343
g729char/exp3/original/a/a_m01s09.wav	g729char/exp1/coded/a/ae1m0909.out	16000	3.548
g729char/exp3/original/a/a_m02s09.wav	g729char/exp1/coded/a/ae1m3509.out	16000	3.8
g729char/exp3/original/a/a_f01s10.wav	g729char/exp1/coded/a/ae1f6210.out	16000	3.027
g729char/exp3/original/a/a_f02s10.wav	g729char/exp1/coded/a/ae1f8e10.out	16000	3.169
g729char/exp3/original/a/a_m01s10.wav	g729char/exp1/coded/a/ae1m0a10.out	16000	3.257
g729char/exp3/original/a/a_m02s10.wav	g729char/exp1/coded/a/ae1m3610.out	16000	3.683
g729char/exp3/original/a/a_f01s11.wav	g729char/exp1/coded/a/ae1f6311.out	16000	3.436
g729char/exp3/original/a/a_f02s11.wav	g729char/exp1/coded/a/ae1f8f11.out	16000	3.412
g729char/exp3/original/a/a_m01s11.wav	g729char/exp1/coded/a/ae1m0b11.out	16000	3.771
g729char/exp3/original/a/a_m02s11.wav	g729char/exp1/coded/a/ae1m3711.out	16000	3.761
g729char/exp3/original/a/a_f01s12.wav	g729char/exp1/coded/a/ae1f6412.out	16000	3.182
g729char/exp3/original/a/a_f02s12.wav	g729char/exp1/coded/a/ae1f9012.out	16000	3.298
g729char/exp3/original/a/a_m01s12.wav	g729char/exp1/coded/a/ae1m0c12.out	16000	3.567
g729char/exp3/original/a/a_m02s12.wav	g729char/exp1/coded/a/ae1m3812.out	16000	3.556
g729char/exp3/original/a/a_f01s13.wav	g729char/exp1/coded/a/ae1f6513.out	16000	2.986
g729char/exp3/original/a/a_f02s13.wav	g729char/exp1/coded/a/ae1f9113.out	16000	2.996
g729char/exp3/original/a/a_m01s13.wav	g729char/exp1/coded/a/ae1m0d13.out	16000	3.399
g729char/exp3/original/a/a_m02s13.wav	g729char/exp1/coded/a/ae1m3913.out	16000	3.699
g729char/exp3/original/a/a_f01s14.wav	g729char/exp1/coded/a/ae1f6614.out	16000	2.77
g729char/exp3/original/a/a_f02s14.wav	g729char/exp1/coded/a/ae1f9214.out	16000	3.076
g729char/exp3/original/a/a_m01s14.wav	g729char/exp1/coded/a/ae1m0e14.out	16000	3.319
g729char/exp3/original/a/a_m02s14.wav	g729char/exp1/coded/a/ae1m3a14.out	16000	3.454
g729char/exp3/original/a/a_f01s15.wav	g729char/exp1/coded/a/ae1f6715.out	16000	2.9
g729char/exp3/original/a/a_f02s15.wav	g729char/exp1/coded/a/ae1f9315.out	16000	3.042
g729char/exp3/original/a/a_m01s15.wav	g729char/exp1/coded/a/ae1m0f15.out	16000	3.127
g729char/exp3/original/a/a_m02s15.wav	g729char/exp1/coded/a/ae1m3b15.out	16000	3.397
g729char/exp3/original/a/a_f01s16.wav	g729char/exp1/coded/a/ae1f6816.out	16000	3.353
g729char/exp3/original/a/a_f02s16.wav	g729char/exp1/coded/a/ae1f9416.out	16000	3.529
